,日本,中国,英国,加拿大,印度,巴西,沙特阿拉伯,墨西哥,韩国,德国,法国,澳大利亚,意大利,印度尼西亚,南非,土耳其,阿根廷,俄罗斯
2016-03-31,1163.75,1217.5,160.0,68.75,116.25,252.5,101.25,76.25,113.75,56.25,46.25,51.25,35.75,35.75,12.25,46.25,5.25,95.0
2016-04-30,1161.6666666666667,1200.0,171.66666666666666,70.0,116.66666666666667,253.33333333333334,103.33333333333333,76.66666666666667,113.33333333333333,56.666666666666664,46.666666666666664,51.666666666666664,36.0,36.0,12.333333333333334,46.666666666666664,5.333333333333333,96.66666666666667
2016-05-31,1159.5833333333333,1182.5,183.33333333333334,71.25,117.08333333333333,254.16666666666666,105.41666666666667,77.08333333333333,112.91666666666667,57.083333333333336,47.083333333333336,52.083333333333336,36.25,36.25,12.416666666666666,47.083333333333336,5.416666666666667,98.33333333333333
2016-06-30,1157.5,1165.0,195.0,72.5,117.5,255.0,107.5,77.5,112.5,57.5,47.5,52.5,36.5,36.5,12.5,47.5,5.5,100.0
2016-07-31,1155.4166666666667,1147.5,206.66666666666666,73.75,117.91666666666667,255.83333333333334,109.58333333333333,77.91666666666667,112.08333333333333,57.916666666666664,47.916666666666664,52.916666666666664,36.75,36.75,12.583333333333334,47.916666666666664,5.583333333333333,101.66666666666667
2016-08-31,1153.3333333333333,1130.0,218.33333333333331,75.0,118.33333333333333,256.6666666666667,111.66666666666667,78.33333333333333,111.66666666666667,58.333333333333336,48.333333333333336,53.333333333333336,37.0,37.0,12.666666666666666,48.333333333333336,5.666666666666667,103.33333333333333
2016-09-30,1151.25,1112.5,230.0,76.25,118.75,257.5,113.75,78.75,111.25,58.75,48.75,53.75,37.25,37.25,12.75,48.75,5.75,105.0
2016-10-31,1149.1666666666667,1095.0,241.66666666666666,77.5,119.16666666666667,258.3333333333333,115.83333333333333,79.16666666666667,110.83333333333333,59.166666666666664,49.166666666666664,54.166666666666664,37.5,37.5,12.833333333333334,49.166666666666664,5.833333333333333,106.66666666666667
2016-11-30,1147.0833333333333,1077.5,253.33333333333331,78.75,119.58333333333333,259.1666666666667,117.91666666666667,79.58333333333333,110.41666666666667,59.583333333333336,49.583333333333336,54.583333333333336,37.75,37.75,12.916666666666666,49.583333333333336,5.916666666666667,108.33333333333333
2016-12-31,1145.0,1060.0,265.0,80.0,120.0,260.0,120.0,80.0,110.0,60.0,50.0,55.0,38.0,38.0,13.0,50.0,6.0,110.0
2017-01-31,1140.8333333333333,1070.4166666666667,265.4166666666667,81.25,121.66666666666667,261.25,123.33333333333333,80.41666666666667,109.58333333333333,60.416666666666664,50.416666666666664,55.416666666666664,38.333333333333336,38.166666666666664,13.083333333333334,50.416666666666664,6.083333333333333,109.58333333333333
2017-02-28,1136.6666666666667,1080.8333333333333,265.8333333333333,82.5,123.33333333333333,262.5,126.66666666666667,80.83333333333333,109.16666666666667,60.833333333333336,50.833333333333336,55.833333333333336,38.666666666666664,38.333333333333336,13.166666666666666,50.833333333333336,6.166666666666667,109.16666666666667
2017-03-31,1132.5,1091.25,266.25,83.75,125.0,263.75,130.0,81.25,108.75,61.25,51.25,56.25,39.0,38.5,13.25,51.25,6.25,108.75
2017-04-30,1128.3333333333333,1101.6666666666667,266.6666666666667,85.0,126.66666666666667,265.0,133.33333333333334,81.66666666666667,108.33333333333333,61.666666666666664,51.666666666666664,56.666666666666664,39.333333333333336,38.666666666666664,13.333333333333334,51.666666666666664,6.333333333333333,108.33333333333333
2017-05-31,1124.1666666666667,1112.0833333333333,267.0833333333333,86.25,128.33333333333334,266.25,136.66666666666666,82.08333333333333,107.91666666666667,62.083333333333336,52.083333333333336,57.083333333333336,39.666666666666664,38.833333333333336,13.416666666666666,52.083333333333336,6.416666666666667,107.91666666666667
2017-06-30,1120.0,1122.5,267.5,87.5,130.0,267.5,140.0,82.5,107.5,62.5,52.5,57.5,40.0,39.0,13.5,52.5,6.5,107.5
2017-07-31,1115.8333333333333,1132.9166666666667,267.9166666666667,88.75,131.66666666666666,268.75,143.33333333333334,82.91666666666667,107.08333333333333,62.916666666666664,52.916666666666664,57.916666666666664,40.333333333333336,39.166666666666664,13.583333333333334,52.916666666666664,6.583333333333333,107.08333333333333
2017-08-31,1111.6666666666667,1143.3333333333333,268.3333333333333,90.0,133.33333333333334,270.0,146.66666666666666,83.33333333333333,106.66666666666667,63.333333333333336,53.333333333333336,58.333333333333336,40.666666666666664,39.333333333333336,13.666666666666666,53.333333333333336,6.666666666666667,106.66666666666667
2017-09-30,1107.5,1153.75,268.75,91.25,135.0,271.25,150.0,83.75,106.25,63.75,53.75,58.75,41.0,39.5,13.75,53.75,6.75,106.25
2017-10-31,1103.3333333333333,1164.1666666666667,269.1666666666667,92.5,136.66666666666666,272.5,153.33333333333334,84.16666666666667,105.83333333333333,64.16666666666667,54.166666666666664,59.166666666666664,41.333333333333336,39.666666666666664,13.833333333333334,54.166666666666664,6.833333333333333,105.83333333333333
2017-11-30,1099.1666666666667,1174.5833333333333,269.5833333333333,93.75,138.33333333333334,273.75,156.66666666666666,84.58333333333333,105.41666666666667,64.58333333333333,54.583333333333336,59.583333333333336,41.666666666666664,39.833333333333336,13.916666666666666,54.583333333333336,6.916666666666667,105.41666666666667
2017-12-31,1095.0,1185.0,270.0,95.0,140.0,275.0,160.0,85.0,105.0,65.0,55.0,60.0,42.0,40.0,14.0,55.0,7.0,105.0
2018-01-31,1090.0,1179.5833333333333,272.5,95.41666666666667,140.83333333333334,277.5,161.25,85.41666666666667,105.83333333333333,65.41666666666667,55.416666666666664,60.416666666666664,42.25,40.166666666666664,14.083333333333334,53.75,6.833333333333333,97.5
2018-02-28,1085.0,1174.1666666666667,275.0,95.83333333333333,141.66666666666666,280.0,162.5,85.83333333333333,106.66666666666667,65.83333333333333,55.833333333333336,60.833333333333336,42.5,40.333333333333336,14.166666666666666,52.5,6.666666666666667,90.0
2018-03-31,1080.0,1168.75,277.5,96.25,142.5,282.5,163.75,86.25,107.5,66.25,56.25,61.25,42.75,40.5,14.25,51.25,6.5,82.5
2018-04-30,1075.0,1163.3333333333333,280.0,96.66666666666667,143.33333333333334,285.0,165.0,86.66666666666667,108.33333333333333,66.66666666666667,56.666666666666664,61.666666666666664,43.0,40.666666666666664,14.333333333333334,50.0,6.333333333333333,75.0
2018-05-31,1070.0,1157.9166666666667,282.5,97.08333333333333,144.16666666666666,287.5,166.25,87.08333333333333,109.16666666666667,67.08333333333333,57.083333333333336,62.083333333333336,43.25,40.833333333333336,14.416666666666666,48.75,6.166666666666667,67.5
2018-06-30,1065.0,1152.5,285.0,97.5,145.0,290.0,167.5,87.5,110.0,67.5,57.5,62.5,43.5,41.0,14.5,47.5,6.0,60.0
2018-07-31,1060.0,1147.0833333333333,287.5,97.91666666666667,145.83333333333334,292.5,168.75,87.91666666666667,110.83333333333333,67.91666666666667,57.916666666666664,62.916666666666664,43.75,41.166666666666664,14.583333333333334,46.25,5.833333333333333,52.5
2018-08-31,1055.0,1141.6666666666667,290.0,98.33333333333333,146.66666666666666,295.0,170.0,88.33333333333333,111.66666666666667,68.33333333333333,58.333333333333336,63.333333333333336,44.0,41.333333333333336,14.666666666666666,45.0,5.666666666666667,45.0
2018-09-30,1050.0,1136.25,292.5,98.75,147.5,297.5,171.25,88.75,112.5,68.75,58.75,63.75,44.25,41.5,14.75,43.75,5.5,37.5
2018-10-31,1045.0,1130.8333333333333,295.0,99.16666666666667,148.33333333333334,300.0,172.5,89.16666666666667,113.33333333333333,69.16666666666667,59.166666666666664,64.16666666666667,44.5,41.666666666666664,14.833333333333334,42.5,5.333333333333333,30.0
2018-11-30,1040.0,1125.4166666666667,297.5,99.58333333333333,149.16666666666666,302.5,173.75,89.58333333333333,114.16666666666667,69.58333333333333,59.583333333333336,64.58333333333333,44.75,41.833333333333336,14.916666666666666,41.25,5.166666666666667,22.5
2018-12-31,1035.0,1120.0,300.0,100.0,150.0,305.0,175.0,90.0,115.0,70.0,60.0,65.0,45.0,42.0,15.0,40.0,5.0,15.0
2019-01-31,1044.5833333333333,1115.8333333333333,305.4166666666667,100.41666666666667,151.25,305.4166666666667,175.41666666666666,90.41666666666667,115.83333333333333,70.41666666666667,60.416666666666664,65.41666666666667,45.25,42.25,15.083333333333334,39.166666666666664,4.916666666666667,14.75
2019-02-28,1054.1666666666667,1111.6666666666667,310.8333333333333,100.83333333333333,152.5,305.8333333333333,175.83333333333334,90.83333333333333,116.66666666666667,70.83333333333333,60.833333333333336,65.83333333333333,45.5,42.5,15.166666666666666,38.333333333333336,4.833333333333333,14.5
2019-03-31,1063.75,1107.5,316.25,101.25,153.75,306.25,176.25,91.25,117.5,71.25,61.25,66.25,45.75,42.75,15.25,37.5,4.75,14.25
2019-04-30,1073.3333333333333,1103.3333333333333,321.6666666666667,101.66666666666667,155.0,306.6666666666667,176.66666666666666,91.66666666666667,118.33333333333333,71.66666666666667,61.666666666666664,66.66666666666667,46.0,43.0,15.333333333333334,36.666666666666664,4.666666666666667,14.0
2019-05-31,1082.9166666666667,1099.1666666666667,327.0833333333333,102.08333333333333,156.25,307.0833333333333,177.08333333333334,92.08333333333333,119.16666666666667,72.08333333333333,62.083333333333336,67.08333333333333,46.25,43.25,15.416666666666666,35.833333333333336,4.583333333333333,13.75
2019-06-30,1092.5,1095.0,332.5,102.5,157.5,307.5,177.5,92.5,120.0,72.5,62.5,67.5,46.5,43.5,15.5,35.0,4.5,13.5
2019-07-31,1102.0833333333333,1090.8333333333333,337.9166666666667,102.91666666666667,158.75,307.9166666666667,177.91666666666666,92.91666666666667,120.83333333333333,72.91666666666667,62.916666666666664,67.91666666666667,46.75,43.75,15.583333333333334,34.166666666666664,4.416666666666667,13.25
2019-08-31,1111.6666666666667,1086.6666666666667,343.3333333333333,103.33333333333333,160.0,308.3333333333333,178.33333333333334,93.33333333333333,121.66666666666667,73.33333333333333,63.333333333333336,68.33333333333333,47.0,44.0,15.666666666666666,33.333333333333336,4.333333333333333,13.0
2019-09-30,1121.25,1082.5,348.75,103.75,161.25,308.75,178.75,93.75,122.5,73.75,63.75,68.75,47.25,44.25,15.75,32.5,4.25,12.75
2019-10-31,1130.8333333333333,1078.3333333333333,354.1666666666667,104.16666666666667,162.5,309.1666666666667,179.16666666666666,94.16666666666667,123.33333333333333,74.16666666666667,64.16666666666667,69.16666666666667,47.5,44.5,15.833333333333334,31.666666666666668,4.166666666666667,12.5
2019-11-30,1140.4166666666667,1074.1666666666667,359.5833333333333,104.58333333333333,163.75,309.5833333333333,179.58333333333334,94.58333333333333,124.16666666666667,74.58333333333333,64.58333333333333,69.58333333333333,47.75,44.75,15.916666666666666,30.833333333333332,4.083333333333333,12.25
2019-12-31,1150.0,1070.0,365.0,105.0,165.0,310.0,180.0,95.0,125.0,75.0,65.0,70.0,48.0,45.0,16.0,30.0,4.0,12.0
2020-01-31,1160.0,1069.5833333333333,381.25,116.25,168.75,306.25,175.83333333333334,96.25,125.41666666666667,75.83333333333333,65.83333333333333,70.41666666666667,48.583333333333336,44.75,15.916666666666666,29.583333333333332,3.9166666666666665,11.333333333333334
2020-02-29,1170.0,1069.1666666666667,397.5,127.5,172.5,302.5,171.66666666666666,97.5,125.83333333333333,76.66666666666667,66.66666666666667,70.83333333333333,49.166666666666664,44.5,15.833333333333334,29.166666666666668,3.8333333333333335,10.666666666666666
2020-03-31,1180.0,1068.75,413.75,138.75,176.25,298.75,167.5,98.75,126.25,77.5,67.5,71.25,49.75,44.25,15.75,28.75,3.75,10.0
2020-04-30,1190.0,1068.3333333333333,430.0,150.0,180.0,295.0,163.33333333333334,100.0,126.66666666666667,78.33333333333333,68.33333333333333,71.66666666666667,50.333333333333336,44.0,15.666666666666666,28.333333333333332,3.6666666666666665,9.333333333333334
2020-05-31,1200.0,1067.9166666666667,446.25,161.25,183.75,291.25,159.16666666666666,101.25,127.08333333333333,79.16666666666667,69.16666666666667,72.08333333333333,50.916666666666664,43.75,15.583333333333334,27.916666666666668,3.5833333333333335,8.666666666666666
2020-06-30,1210.0,1067.5,462.5,172.5,187.5,287.5,155.0,102.5,127.5,80.0,70.0,72.5,51.5,43.5,15.5,27.5,3.5,8.0
2020-07-31,1220.0,1067.0833333333333,478.75,183.75,191.25,283.75,150.83333333333334,103.75,127.91666666666667,80.83333333333333,70.83333333333333,72.91666666666667,52.083333333333336,43.25,15.416666666666666,27.083333333333332,3.4166666666666665,7.333333333333334
2020-08-31,1230.0,1066.6666666666667,495.0,195.0,195.0,280.0,146.66666666666666,105.0,128.33333333333334,81.66666666666667,71.66666666666667,73.33333333333333,52.666666666666664,43.0,15.333333333333334,26.666666666666668,3.3333333333333335,6.666666666666667
2020-09-30,1240.0,1066.25,511.25,206.25,198.75,276.25,142.5,106.25,128.75,82.5,72.5,73.75,53.25,42.75,15.25,26.25,3.25,6.0
2020-10-31,1250.0,1065.8333333333333,527.5,217.5,202.5,272.5,138.33333333333334,107.5,129.16666666666666,83.33333333333333,73.33333333333333,74.16666666666667,53.833333333333336,42.5,15.166666666666666,25.833333333333332,3.1666666666666665,5.333333333333334
2020-11-30,1260.0,1065.4166666666667,543.75,228.75,206.25,268.75,134.16666666666666,108.75,129.58333333333334,84.16666666666667,74.16666666666667,74.58333333333333,54.416666666666664,42.25,15.083333333333334,25.416666666666668,3.0833333333333335,4.666666666666667
2020-12-31,1270.0,1065.0,560.0,240.0,210.0,265.0,130.0,110.0,130.0,85.0,75.0,75.0,55.0,42.0,15.0,25.0,3.0,4.0
2021-01-31,1273.3333333333333,1063.75,566.6666666666666,243.33333333333334,210.83333333333334,263.75,129.16666666666666,110.41666666666667,130.41666666666666,85.41666666666667,75.41666666666667,75.41666666666667,55.416666666666664,41.833333333333336,14.916666666666666,24.583333333333332,2.9583333333333335,3.8333333333333335
2021-02-28,1276.6666666666667,1062.5,573.3333333333334,246.66666666666666,211.66666666666666,262.5,128.33333333333334,110.83333333333333,130.83333333333334,85.83333333333333,75.83333333333333,75.83333333333333,55.833333333333336,41.666666666666664,14.833333333333334,24.166666666666668,2.9166666666666665,3.6666666666666665
2021-03-31,1280.0,1061.25,580.0,250.0,212.5,261.25,127.5,111.25,131.25,86.25,76.25,76.25,56.25,41.5,14.75,23.75,2.875,3.5
2021-04-30,1283.3333333333333,1060.0,586.6666666666666,253.33333333333334,213.33333333333334,260.0,126.66666666666667,111.66666666666667,131.66666666666666,86.66666666666667,76.66666666666667,76.66666666666667,56.666666666666664,41.333333333333336,14.666666666666666,23.333333333333332,2.8333333333333335,3.3333333333333335
2021-05-31,1286.6666666666667,1058.75,593.3333333333334,256.6666666666667,214.16666666666666,258.75,125.83333333333333,112.08333333333333,132.08333333333334,87.08333333333333,77.08333333333333,77.08333333333333,57.083333333333336,41.166666666666664,14.583333333333334,22.916666666666668,2.7916666666666665,3.1666666666666665
2021-06-30,1290.0,1057.5,600.0,260.0,215.0,257.5,125.0,112.5,132.5,87.5,77.5,77.5,57.5,41.0,14.5,22.5,2.75,3.0
2021-07-31,1293.3333333333333,1056.25,606.6666666666666,263.3333333333333,215.83333333333334,256.25,124.16666666666667,112.91666666666667,132.91666666666666,87.91666666666667,77.91666666666667,77.91666666666667,57.916666666666664,40.833333333333336,14.416666666666666,22.083333333333332,2.7083333333333335,2.8333333333333335
2021-08-31,1296.6666666666667,1055.0,613.3333333333334,266.6666666666667,216.66666666666666,255.0,123.33333333333333,113.33333333333333,133.33333333333334,88.33333333333333,78.33333333333333,78.33333333333333,58.333333333333336,40.666666666666664,14.333333333333334,21.666666666666668,2.6666666666666665,2.666666666666667
2021-09-30,1300.0,1053.75,620.0,270.0,217.5,253.75,122.5,113.75,133.75,88.75,78.75,78.75,58.75,40.5,14.25,21.25,2.625,2.5
2021-10-31,1303.3333333333333,1052.5,626.6666666666666,273.3333333333333,218.33333333333334,252.5,121.66666666666667,114.16666666666667,134.16666666666666,89.16666666666667,79.16666666666667,79.16666666666667,59.166666666666664,40.333333333333336,14.166666666666666,20.833333333333332,2.5833333333333335,2.3333333333333335
2021-11-30,1306.6666666666667,1051.25,633.3333333333334,276.6666666666667,219.16666666666666,251.25,120.83333333333333,114.58333333333333,134.58333333333334,89.58333333333333,79.58333333333333,79.58333333333333,59.583333333333336,40.166666666666664,14.083333333333334,20.416666666666668,2.5416666666666665,2.166666666666667
2021-12-31,1310.0,1050.0,640.0,280.0,220.0,250.0,120.0,115.0,135.0,90.0,80.0,80.0,60.0,40.0,14.0,20.0,2.5,2.0
2022-01-31,1290.8333333333333,1035.0,642.5,281.6666666666667,220.41666666666666,247.5,119.58333333333333,114.58333333333333,131.25,89.83333333333333,79.83333333333333,79.58333333333333,59.833333333333336,39.833333333333336,13.916666666666666,19.583333333333332,2.4583333333333335,1.8416666666666668
2022-02-28,1271.6666666666667,1020.0,645.0,283.3333333333333,220.83333333333334,245.0,119.16666666666667,114.16666666666667,127.5,89.66666666666667,79.66666666666667,79.16666666666667,59.666666666666664,39.666666666666664,13.833333333333334,19.166666666666668,2.4166666666666665,1.6833333333333333
2022-03-31,1252.5,1005.0,647.5,285.0,221.25,242.5,118.75,113.75,123.75,89.5,79.5,78.75,59.5,39.5,13.75,18.75,2.375,1.525
2022-04-30,1233.3333333333333,990.0,650.0,286.6666666666667,221.66666666666666,240.0,118.33333333333333,113.33333333333333,120.0,89.33333333333333,79.33333333333333,78.33333333333333,59.333333333333336,39.333333333333336,13.666666666666666,18.333333333333332,2.3333333333333335,1.3666666666666667
2022-05-31,1214.1666666666667,975.0,652.5,288.3333333333333,222.08333333333334,237.5,117.91666666666667,112.91666666666667,116.25,89.16666666666667,79.16666666666667,77.91666666666667,59.166666666666664,39.166666666666664,13.583333333333334,17.916666666666668,2.2916666666666665,1.2083333333333335
2022-06-30,1195.0,960.0,655.0,290.0,222.5,235.0,117.5,112.5,112.5,89.0,79.0,77.5,59.0,39.0,13.5,17.5,2.25,1.05
2022-07-31,1175.8333333333333,945.0,657.5,291.6666666666667,222.91666666666666,232.5,117.08333333333333,112.08333333333333,108.75,88.83333333333333,78.83333333333333,77.08333333333333,58.833333333333336,38.833333333333336,13.416666666666666,17.083333333333332,2.2083333333333335,0.8916666666666667
2022-08-31,1156.6666666666667,930.0,660.0,293.3333333333333,223.33333333333334,230.0,116.66666666666667,111.66666666666667,105.0,88.66666666666667,78.66666666666667,76.66666666666667,58.666666666666664,38.666666666666664,13.333333333333334,16.666666666666668,2.1666666666666665,0.7333333333333334
2022-09-30,1137.5,915.0,662.5,295.0,223.75,227.5,116.25,111.25,101.25,88.5,78.5,76.25,58.5,38.5,13.25,16.25,2.125,0.5750000000000001
2022-10-31,1118.3333333333333,900.0,665.0,296.6666666666667,224.16666666666666,225.0,115.83333333333333,110.83333333333333,97.5,88.33333333333333,78.33333333333333,75.83333333333333,58.333333333333336,38.333333333333336,13.166666666666666,15.833333333333334,2.0833333333333335,0.41666666666666674
2022-11-30,1099.1666666666667,885.0,667.5,298.3333333333333,224.58333333333334,222.5,115.41666666666667,110.41666666666667,93.75,88.16666666666667,78.16666666666667,75.41666666666667,58.166666666666664,38.166666666666664,13.083333333333334,15.416666666666666,2.0416666666666665,0.2583333333333334
2022-12-31,1080.0,870.0,670.0,300.0,225.0,220.0,115.0,110.0,90.0,88.0,78.0,75.0,58.0,38.0,13.0,15.0,2.0,0.1
2023-01-31,1081.6666666666667,862.5,673.3333333333334,301.25,225.41666666666666,220.41666666666666,114.58333333333333,109.58333333333333,90.83333333333333,88.16666666666667,78.16666666666667,75.16666666666667,58.166666666666664,37.916666666666664,12.916666666666666,14.583333333333334,1.9583333333333333,0.1
2023-02-28,1083.3333333333333,855.0,676.6666666666666,302.5,225.83333333333334,220.83333333333334,114.16666666666667,109.16666666666667,91.66666666666667,88.33333333333333,78.33333333333333,75.33333333333333,58.333333333333336,37.833333333333336,12.833333333333334,14.166666666666666,1.9166666666666667,0.1
2023-03-31,1085.0,847.5,680.0,303.75,226.25,221.25,113.75,108.75,92.5,88.5,78.5,75.5,58.5,37.75,12.75,13.75,1.875,0.1
2023-04-30,1086.6666666666667,840.0,683.3333333333334,305.0,226.66666666666666,221.66666666666666,113.33333333333333,108.33333333333333,93.33333333333333,88.66666666666667,78.66666666666667,75.66666666666667,58.666666666666664,37.666666666666664,12.666666666666666,13.333333333333334,1.8333333333333333,0.1
2023-05-31,1088.3333333333333,832.5,686.6666666666666,306.25,227.08333333333334,222.08333333333334,112.91666666666667,107.91666666666667,94.16666666666667,88.83333333333333,78.83333333333333,75.83333333333333,58.833333333333336,37.583333333333336,12.583333333333334,12.916666666666666,1.7916666666666667,0.1
2023-06-30,1090.0,825.0,690.0,307.5,227.5,222.5,112.5,107.5,95.0,89.0,79.0,76.0,59.0,37.5,12.5,12.5,1.75,0.1
2023-07-31,1091.6666666666667,817.5,693.3333333333334,308.75,227.91666666666666,222.91666666666666,112.08333333333333,107.08333333333333,95.83333333333333,89.16666666666667,79.16666666666667,76.16666666666667,59.166666666666664,37.416666666666664,12.416666666666666,12.083333333333334,1.7083333333333333,0.1
2023-08-31,1093.3333333333333,810.0,696.6666666666666,310.0,228.33333333333334,223.33333333333334,111.66666666666667,106.66666666666667,96.66666666666667,89.33333333333333,79.33333333333333,76.33333333333333,59.333333333333336,37.333333333333336,12.333333333333334,11.666666666666666,1.6666666666666667,0.1
2023-09-30,1095.0,802.5,700.0,311.25,228.75,223.75,111.25,106.25,97.5,89.5,79.5,76.5,59.5,37.25,12.25,11.25,1.625,0.1
2023-10-31,1096.6666666666667,795.0,703.3333333333334,312.5,229.16666666666666,224.16666666666666,110.83333333333333,105.83333333333333,98.33333333333333,89.66666666666667,79.66666666666667,76.66666666666667,59.666666666666664,37.166666666666664,12.166666666666666,10.833333333333334,1.5833333333333333,0.1
2023-11-30,1098.3333333333333,787.5,706.6666666666666,313.75,229.58333333333334,224.58333333333334,110.41666666666667,105.41666666666667,99.16666666666667,89.83333333333333,79.83333333333333,76.83333333333333,59.833333333333336,37.083333333333336,12.083333333333334,10.416666666666666,1.5416666666666667,0.1
2023-12-31,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
2024-01-31,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
2024-02-29,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
2024-03-31,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
2024-04-30,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
2024-05-31,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
2024-06-30,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
2024-07-31,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
2024-08-31,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
2024-09-30,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
2024-10-31,1100.0,780.0,710.0,315.0,230.0,225.0,110.0,105.0,100.0,90.0,80.0,77.0,60.0,37.0,12.0,10.0,1.5,0.1
