,俄罗斯,中国,印度,土耳其,美国,德国,意大利,法国,日本,英国,加拿大,澳大利亚,韩国
2018-03-31,85.72649572649573,87.6068376068376,29.743589743589745,14.637153919205202,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-04-30,86.66666666666666,88.33333333333333,30.0,14.777777777777779,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-05-31,87.60683760683762,89.05982905982906,30.256410256410255,14.922054204105486,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-06-30,88.54700854700855,89.78632478632478,30.51282051282051,15.069983198188327,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-07-31,89.48717948717949,90.51282051282051,30.769230769230766,15.221564760026299,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-08-31,90.42735042735043,91.23931623931624,31.025641025641026,15.376798889619403,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-09-30,91.36752136752136,91.96581196581197,31.28205128205128,15.53568558696764,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-10-31,92.3076923076923,92.6923076923077,31.538461538461537,15.698224852071005,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-11-30,93.24786324786325,93.41880341880342,31.794871794871796,15.864416684929507,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2018-12-31,94.18803418803418,94.14529914529913,32.05128205128205,16.034261085543136,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-01-31,95.12820512820512,94.87179487179486,32.30769230769231,16.207758053911903,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-02-28,96.06837606837607,95.59829059829059,32.56410256410256,16.384907590035795,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-03-31,97.008547008547,96.32478632478632,32.82051282051282,16.565709693914823,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-04-30,97.94871794871796,97.05128205128204,33.07692307692308,16.750164365548983,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-05-31,98.88888888888889,97.77777777777777,33.33333333333333,16.938271604938272,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-06-30,99.82905982905983,98.5042735042735,33.58974358974359,17.130031412082694,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-07-31,100.76923076923077,99.23076923076923,33.84615384615385,17.325443786982248,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-08-31,101.7094017094017,99.95726495726495,34.1025641025641,17.524508729636935,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-09-30,102.64957264957265,100.68376068376068,34.35897435897436,17.727226240046754,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-10-31,103.58974358974359,101.41025641025641,34.61538461538461,17.933596318211706,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-11-30,104.52991452991452,102.13675213675214,34.87179487179487,18.143618964131786,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2019-12-31,105.47008547008548,102.86324786324786,35.128205128205124,18.357294177807,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-01-31,106.41025641025641,103.58974358974359,35.38461538461539,18.574621959237344,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-02-29,107.35042735042735,104.31623931623932,35.641025641025635,18.795602308422822,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-03-31,108.2905982905983,105.04273504273505,35.8974358974359,19.02023522536343,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-04-30,109.23076923076923,105.76923076923077,36.15384615384615,19.248520710059175,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-05-31,110.17094017094017,106.4957264957265,36.41025641025641,19.480458762510047,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-06-30,111.11111111111111,107.22222222222223,36.666666666666664,19.71604938271605,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-07-31,112.05128205128204,107.94871794871796,36.92307692307692,19.955292570677187,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-08-31,112.99145299145299,108.67521367521368,37.17948717948718,20.198188326393456,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-09-30,113.93162393162393,109.4017094017094,37.43589743589743,20.444736649864858,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-10-31,114.87179487179488,110.12820512820512,37.69230769230769,20.694937541091388,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-11-30,115.8119658119658,110.85470085470085,37.94871794871795,20.948791000073054,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2020-12-31,116.75213675213675,111.58119658119658,38.205128205128204,21.20629702680985,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-01-31,117.6923076923077,112.3076923076923,38.46153846153846,21.467455621301774,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-02-28,118.63247863247864,113.03418803418803,38.717948717948715,21.732266783548837,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-03-31,119.57264957264957,113.76068376068376,38.97435897435897,22.000730513551026,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-04-30,120.51282051282051,114.48717948717947,39.230769230769226,22.27284681130835,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-05-31,121.45299145299145,115.2136752136752,39.48717948717949,22.54861567682081,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-06-30,122.3931623931624,115.94017094017093,39.74358974358974,22.828037110088395,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-07-31,123.33333333333333,116.66666666666666,40.0,23.111111111111114,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-08-31,124.27350427350427,117.39316239316238,40.256410256410255,23.397837679888962,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-09-30,125.21367521367522,118.11965811965811,40.51282051282051,23.688216816421946,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-10-31,126.15384615384615,118.84615384615384,40.76923076923077,23.982248520710062,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-11-30,127.09401709401709,119.57264957264957,41.02564102564102,24.279932792753307,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2021-12-31,128.03418803418805,120.2991452991453,41.282051282051285,24.581269632551685,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-01-31,128.97435897435898,121.02564102564102,41.53846153846153,24.886259040105195,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-02-28,129.9145299145299,121.75213675213675,41.794871794871796,25.19490101541384,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-03-31,130.85470085470087,122.47863247863248,42.05128205128205,25.507195558477612,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-04-30,131.7948717948718,123.2051282051282,42.30769230769231,25.823142669296516,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-05-31,132.73504273504273,123.93162393162393,42.56410256410256,26.14274234787056,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-06-30,133.67521367521368,124.65811965811966,42.82051282051282,26.465994594199724,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-07-31,134.6153846153846,125.38461538461539,43.07692307692307,26.792899408284022,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-08-31,135.55555555555554,126.11111111111111,43.33333333333333,27.123456790123463,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-09-30,136.4957264957265,126.83760683760684,43.58974358974359,27.45766673971803,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-10-31,137.43589743589743,127.56410256410255,43.84615384615384,27.79552925706772,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-11-30,138.37606837606836,128.29059829059827,44.1025641025641,28.137044342172548,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2022-12-31,139.31623931623932,129.017094017094,44.35897435897436,28.48221199503251,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-01-31,140.25641025641025,129.74358974358972,44.61538461538461,28.831032215647603,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-02-28,141.19658119658118,130.47008547008545,44.87179487179487,29.183505004017828,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-03-31,142.13675213675214,131.19658119658118,45.128205128205124,29.539630360143185,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-04-30,143.0769230769231,131.9230769230769,45.38461538461539,29.899408284023675,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-05-31,144.017094017094,132.64957264957263,45.641025641025635,30.26283877565929,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-06-30,144.95726495726495,133.37606837606836,45.8974358974359,30.62992183505004,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-07-31,145.8974358974359,134.1025641025641,46.15384615384615,31.00065746219593,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-08-31,146.83760683760684,134.82905982905982,46.41025641025641,31.375045657096944,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-09-30,147.77777777777777,135.55555555555554,46.666666666666664,31.75308641975309,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-10-31,148.71794871794873,136.28205128205127,46.92307692307692,32.13477975016437,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-11-30,149.65811965811966,137.008547008547,47.179487179487175,32.520125648330776,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2023-12-31,150.5982905982906,137.73504273504273,47.43589743589743,32.90912411425232,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2024-01-31,151.53846153846155,138.46153846153845,47.69230769230769,33.30177514792899,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2024-02-29,152.47863247863248,139.18803418803418,47.94871794871794,33.6980787493608,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2024-03-31,153.4188034188034,139.9145299145299,48.205128205128204,34.09803491854774,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2024-04-30,154.35897435897436,140.64102564102564,48.46153846153846,34.501643655489815,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2024-05-31,155.2991452991453,141.36752136752136,48.717948717948715,34.908904960187016,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2024-06-30,156.23931623931622,142.0940170940171,48.97435897435897,35.319818832639356,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2024-07-31,157.17948717948718,142.82051282051282,49.230769230769226,35.73438527284682,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2024-08-31,158.1196581196581,143.54700854700855,49.48717948717949,36.15260428080941,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2024-09-30,159.05982905982904,144.27350427350427,49.74358974358974,36.574475856527144,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
2024-10-31,160.0,145.0,50.0,37.0,11.04,132.0,97.0,97.5,30.0,20.7,0.1,6.0,5.0
